DOM,CDOM,SettledMonth,SettledYear,SettledMonthYear,MortgageRate,SettledDay,OriginalPrice,List Price,SoldPrice,Financing,SaleType,TaxAnnualTotal,AcresTotal,HOA,HOAFeeNormalized,YearBuilt,Age,SqFt,Bedrooms,BathsFull,BathsHalf,BathsHalfConverted,Baths,Basement,GarageSpaces,Fireplace,central air,Waterfront,New Construction,AboveGradeSqFt,BelowGradeSqFt
3,3,3,2025,32025,6.63,18,150000,150000,172000,1,1,2169,0.5,0,0,1950,75,1656,3,1,2,1,2,1,1,0,0,0,0,1656,0
3,3,3,2025,32025,6.63,11,295000,295000,325000,1,1,1358,21.94,0,0,1984,41,1566,4,2,0,0,2,0,0,0,0,0,0,1566,0
4,4,3,2025,32025,6.63,18,335000,335000,335000,4,1,2810,0.05,1,1020,2009,16,1936,3,2,1,0.5,2.5,1,1,0,1,0,0,1536,400
3,3,3,2025,32025,6.63,19,234000,234000,237000,3,1,2422,0.07,0,0,1974,51,1240,3,2,1,0.5,2.5,1,0,0,1,0,0,1240,0
6,6,3,2025,32025,6.63,13,229900,229900,246800,2,1,2014,0.8,0,0,1920,105,1612,3,1,0,0,1,1,0,0,0,0,0,1612,0
12,12,3,2025,32025,6.63,6,304900,304900,305000,2,1,1876,0.1,0,0,1917,108,1584,4,2,0,0,2,1,0,0,0,0,0,1056,528
5,12,3,2025,32025,6.63,5,229900,229900,229900,3,1,1318,0.14,0,0,1950,75,702,2,2,0,0,1,0,1,0,1,0,0,702,0
12,12,3,2025,32025,6.63,18,335000,330000,340000,3,1,2247,0.62,0,0,1962,63,1225,3,1,0,0,1,1,1,1,1,0,0,1225,0
4,4,2,2025,22025,6.89,28,244999,244999,250000,3,1,2893,0.32,0,0,1950,75,925,3,1,0,0,1,1,2,1,0,0,0,925,0
9,9,2,2025,22025,6.89,27,300000,300000,318000,3,1,3067,0.04,1,1020,2016,9,1970,3,2,0,0,2,1,1,0,1,0,0,1520,450
23,23,2,2025,22025,6.89,28,349900,342500,340000,2,1,2447,0.04,1,740,2001,24,1880,3,2,1,0.5,2.5,1,0,0,1,0,0,1480,400
4,4,3,2025,32025,6.63,7,575000,495000,500000,4,1,5328,0.44,0,0,1971,54,3016,4,3,0,0,3,1,2,1,0,0,0,3016,0
15,15,2,2025,22025,6.89,26,400000,400000,390000,1,1,3253,0.06,1,1020,2007,18,2522,3,3,1,0.5,3.5,1,2,1,1,0,0,1922,600
12,12,2,2025,22025,6.89,28,525000,525000,525000,3,1,3832,0.18,1,200,2003,22,3387,4,3,1,0.5,3.5,1,2,1,1,0,0,2417,970
23,116,2,2025,22025,6.89,21,374990,364500,364500,2,1,2995,0.33,0,0,1954,71,1361,3,2,0,0,2,1,1,1,1,0,0,1361,0
4,4,2,2025,22025,6.89,14,199000,199000,202000,2,1,2497,0.06,1,240,2005,20,1120,3,1,1,0.5,1.5,1,0,0,1,0,0,1120,0
9,9,2,2025,22025,6.89,18,360000,360000,365000,3,1,691,0.04,1,1020,2024,1,1892,4,3,1,0.5,3.5,1,2,0,1,0,1,1592,300
12,12,2,2025,22025,6.89,14,415000,415000,430000,1,1,3696,0.57,0,0,1958,67,2078,3,2,0,0,2,1,0,1,1,0,0,1678,400
5,5,2,2025,22025,6.89,5,165000,165000,167500,1,1,2058,0.13,1,240,1964,61,1080,3,1,0,0,1,0,0,0,1,0,0,1080,0
40,192,3,2025,32025,6.63,14,439000,439000,445000,3,1,2937,0.52,0,0,1967,58,1914,6,4,1,0.5,4.5,1,2,1,1,0,0,1414,500
17,17,2,2025,22025,6.89,21,305000,305000,290000,4,1,2613,0.19,0,0,1917,108,1344,4,2,1,0.5,2.5,1,1,0,1,0,0,1344,0
33,33,2,2025,22025,6.89,27,289900,268900,268900,3,1,2068,0.23,0,0,1935,90,942,3,1,0,0,1,0,0,0,1,0,0,942,0
11,11,2,2025,22025,6.89,21,440000,440000,440000,3,1,4243,0.38,0,0,1992,33,2610,3,2,1,0.5,2.5,1,1,0,1,0,0,1760,850
