MLSNumber,Category,Status,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,Zip Code,County,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,YearBuilt,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,AdditionalBankOwned,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct 
MDHR2039862,RES,Closed,3,3,2/15/25,2/26/25 0:00,3/18/25,3/18/25,"$150,000 ","$150,000 ","$172,000 ",838,S,Stepney,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Paula Diggs Smith,66674,Coldwell Banker Realty,CBRB42,(410) 515-2000,Andrey Privado,3115135,Keller Williams Legacy,KWR25,(443) 660-9229,Cash,StandardSale,StandardSale,StandardSale,2169,2024,0.5,R,FeeSimple,No,No,No,,,,1950,75,1656,,3,1,2,Two,Cottage,"Main,Upper1",,Yes,1,No,,,,No,No,No,StandardSale,BRIGHT,1656,0,,,
MDHR2039994,RES,Closed,3,3,2/14/25,2/25/25 0:00,3/11/25,3/11/25,"$295,000 ","$295,000 ","$325,000 ",619,,Carsins Run,,Aberdeen,MD,21001,HARFORDMD,CARSINS RUN,Chad R Shrodes,153748,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE039,(410) 697-8100,Brendan Butler,3093646,Cummings & Co Realtors,CCRL8,(410) 823-0033,Cash,StandardSale,StandardSale,StandardSale,1358,2024,21.94,Agricultural/Residential,FeeSimple,No,No,No,,,,1984,41,1566,,4,2,,One,"Cottage,PreFabricated",Main,,No,,No,,,,No,No,No,StandardSale,BRIGHT,1566,0,,,
MDHR2039772,RES,Closed,4,4,2/2/25,2/17/25 0:00,3/18/25,3/18/25,"$335,000 ","$335,000 ","$335,000 ",4836,,Atlas Cedar,,Aberdeen,MD,21001,HARFORDMD,HOLLY WOODS,Saundra G. Bratcher,50503,Coldwell Banker Realty,CBRB42,(410) 515-2000,Tabitha L Bathgate,73123,"Empower Real Estate, LLC",KELWM42,(410) 398-3434,VA,StandardSale,StandardSale,StandardSale,2810,2024,0.05,TH,FeeSimple,No,No,Yes,Monthly,85,Monthly,2009,16,1936,VeryGood,3,2,1,Three,"Colonial,Other","Upper1,Upper2",,Yes,1,No,,,11,Yes,No,No,StandardSale,BRIGHT,1536,400,VeryGood,,
MDHR2039706,RES,Closed,3,3,2/5/25,2/16/25 0:00,3/19/25,3/19/25,"$234,000 ","$234,000 ","$237,000 ",724,,Custis,,Aberdeen,MD,21001,HARFORDMD,BRENTWOOD SQUARE,Patricia J Patton,19003,CENTURY 21 New Millennium,CREC4,(410) 272-4800,Lisa A Epstein,126747,Cummings & Co. Realtors,CCRL11,(410) 823-0033,FHA,StandardSale,StandardSale,StandardSale,2422,2024,0.07,TH,FeeSimple,No,No,No,,,,1974,51,1240,Average,3,2,1,Three,Colonial,"Main,Upper1",,Yes,,No,BsmtLaundry,,,Yes,No,No,StandardSale,BRIGHT,1240,0,Average,,
MDHR2039450,RES,Closed,6,6,1/30/25,2/12/25 0:00,3/13/25,3/13/25,"$229,900 ","$229,900 ","$246,800 ",1531,,Perryman,,Aberdeen,MD,21001,HARFORDMD,NONE AVAILABLE,Timothy M Lozinak,3306267,"Streett Hopkins Real Estate, LLC",HHC1,(410) 879-7466,Joseph B Sachetti III,71523,Cummings & Co. Realtors,CCRL7,(410) 823-0033,Conventional,StandardSale,StandardSale,StandardSale,2014,2024,0.8,R,FeeSimple,No,No,No,,,,1920,105,1612,,3,1,,Three,Colonial,Upper1,,Yes,,No,BsmtLaundry,,,No,No,No,StandardSale,BRIGHT,1612,0,,,
MDHR2039254,RES,Closed,12,12,7/22/24,2/11/25 0:00,3/7/25,3/6/25,"$304,900 ","$304,900 ","$305,000 ",156,,Osborne,,Aberdeen,MD,21001,HARFORDMD,ABERDEEN HILLS,Michael Soper,3343981,Next Step Realty,NXSR1,(443) 901-2200,Donald L Beecher,83065,Redfin Corp,REFC4,(410) 202-8454,Conventional,StandardSale,StandardSale,StandardSale,1876,2024,0.1,R,FeeSimple,No,No,No,,,,1917,108,1584,,4,2,,Three,Colonial,"Lower1,Upper1",,Yes,,No,,,,No,No,No,StandardSale,BRIGHT,1056,528,,,
MDHR2039440,RES,Closed,5,12,1/30/25,2/3/25 0:00,3/8/25,3/5/25,"$229,900 ","$229,900 ","$229,900 ",147,,Allendale,,Aberdeen,MD,21001,HARFORDMD,NORTH DEEN,Alyson Anderson I,3298700,"Allfirst Realty, Inc.",AFRI1,(443) 320-1344,Brenda L Jolly,136963,Integrity Real Estate,RMAX24,(410) 287-8080,FHA,StandardSale,StandardSale,StandardSale,1318,2024,0.14,,FeeSimple,No,No,No,,,,1950,75,702,VeryGood,2,1,0,One,Rancher,"Lower1,Lower2,Main",,No,1,No,MainFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,702,0,VeryGood,,
MDHR2038930,RES,Closed,37,37,1/15/25,3/4/25 0:00,3/18/25,3/18/25,"$69,000 ","$69,000 ","$64,000 ",275,,Golf Drive,,Aberdeen,MD,21001,HARFORDMD,BUSH RIVER MANOR,Sandra J Smith,91417,Berkshire Hathaway HomeServices Homesale Realty,HOMESALE039,(410) 697-8100,Emillie H. Albrecht,3238868,Real of Pennsylvania,RBRKR5,(717) 344-5577,Cash,StandardSale,StandardSale,StandardSale,0,2021,0,,GroundRent,No,No,No,,,,1996,29,0,VeryGood,3,2,,One,Rancher,Main,,No,,Yes,MainFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,0,,VeryGood,,
MDHR2039220,RES,Closed,12,12,1/28/25,2/9/25 0:00,3/10/25,3/18/25,"$335,000 ","$330,000 ","$340,000 ",15,,Spesutia,,Aberdeen,MD,21001,HARFORDMD,BRENTWOOD MANOR,Selena Hill Watson,3348968,Keller Williams Gateway LLC,KWGW1,(443) 318-8800,Christopher Matthew Kotula,3322666,Realty Plus Associates,RLTPL1,(410) 914-4100,FHA,StandardSale,StandardSale,StandardSale,2247,2024,0.62,R,FeeSimple,No,No,No,,,,1962,63,1225,Good,3,1,,One,Rancher,Main,,Yes,1,Yes,"BsmtLaundry,Hookup",,,Yes,No,No,StandardSale,BRIGHT,1225,0,Good,,
MDHR2039258,RES,Closed,4,4,1/23/25,2/3/25 0:00,2/28/25,2/28/25,"$244,999 ","$244,999 ","$250,000 ",304,,Carter,,Aberdeen,MD,21001,HARFORDMD,WYN MAR,Alonzo Ellwood Gilmore,3303750,Keller Williams Flagship,KWF1,(410) 729-7700,David M Hudson,3026893,Cummings & Co Realtors,CCRL8,(410) 823-0033,FHA,StandardSale,StandardSale,StandardSale,2893,2024,0.32,R,FeeSimple,No,No,No,,,,1950,75,925,,3,1,,One,Rancher,Main,,Yes,2,Yes,,,,No,No,No,StandardSale,BRIGHT,925,0,,,
MDHR2039126,RES,Closed,9,9,1/18/25,1/24/25 0:00,2/27/25,2/27/25,"$300,000 ","$300,000 ","$318,000 ",725,,English Ivy,,Aberdeen,MD,21001,HARFORDMD,HOLLY WOODS,Trina M Fernandez,138493,"EXP Realty, LLC",EXXP1,(888) 860-7369,Alita Credell,143720,ExecuHome Realty,EXER1,(443) 632-3000,FHA,StandardSale,StandardSale,StandardSale,3067,2024,0.04,TH,FeeSimple,No,No,Yes,Monthly,85,Monthly,2016,9,1970,Average,3,2,0,Three,Colonial,"Main,Upper1",,Yes,1,No,,,,Yes,No,No,StandardSale,BRIGHT,1520,450,Average,,
MDHR2039130,RES,Closed,23,23,1/18/25,2/9/25 0:00,2/28/25,2/28/25,"$349,900 ","$342,500 ","$340,000 ",4965,,Bristle Cone,,Aberdeen,MD,21001,HARFORDMD,HOLLY WOODS,Selim Demirkan,3309305,Maryland Realty Company,MDRC1,(410) 929-6161,Jorge L Pimentel,67996,Samson Properties,SAMP31,(443) 317-8125,Conventional,StandardSale,StandardSale,StandardSale,2447,2024,0.04,TH,FeeSimple,No,No,Yes,Quarterly,185,Quarterly,2001,24,1880,,3,2,1,Two,Colonial,"Lower1,Main,Upper1",,Yes,,No,"BsmtLaundry,HasLaundry",,,Yes,No,No,StandardSale,BRIGHT,1480,400,,,
MDHR2039086,RES,Closed,4,4,1/1/25,2/1/25 0:00,3/7/25,3/7/25,"$575,000 ","$495,000 ","$500,000 ",202,,Ferndale,,Aberdeen,MD,21001,HARFORDMD,NORTHWOOD,Janet Garinther,70036,Cummings & Co Realtors,CCRL8,(410) 823-0033,Robin Ann Albert,3353719,Cummings & Co Realtors,CCRL8,(410) 823-0033,VA,StandardSale,StandardSale,StandardSale,5328,2024,0.44,R,FeeSimple,No,No,No,,,,1971,54,3016,,4,3,,Three,Colonial,"Main,Upper1",,Yes,2,Yes,MainFlrLndry,,,No,No,No,StandardSale,BRIGHT,3016,0,,,
MDHR2038758,RES,Closed,15,15,1/11/25,1/31/25 0:00,2/26/25,2/26/25,"$400,000 ","$400,000 ","$390,000 ",4743,,Thistle Hill,,Aberdeen,MD,21001,HARFORDMD,HOLLY WOODS,Alexander D Necker,3047157,"American Premier Realty, LLC",KWAM1,(443) 512-0090,Matthew D Rhine,3007147,Keller Williams Legacy,KWR25,(443) 660-9229,Cash,StandardSale,StandardSale,StandardSale,3253,2024,0.06,TH,FeeSimple,No,No,Yes,Monthly,85,Monthly,2007,18,2522,,3,3,1,Three,CarriageHouse,"Lower1,Main,Upper1",,Yes,2,Yes,UpprFlrLndry,,,Yes,No,No,StandardSale,BRIGHT,1922,600,,,
